Name,Metaphors,Emoji
Arrow Autofit Height In,"height,resize,fill,in,inward",↕️
Arrow Autofit Up,"width,height,resize,fill",⬆️
Arrow Autofit Width,"width,height,resize,fill",↔️
Arrow Autofit Width Dotted,"width,height,resize,fill",↔️
Arrow Between Down,"transfer,margins,padding",⬇️
Arrow Between Up,"transfer,margins,padding",⬆️
Arrow Bidirectional Left Right,"left,right,arrows,width",↔️
Arrow Bidirectional Up Down,"up,down,height",↕️
Arrow Bounce,"arrow,left,deflect",↩️
Arrow Circle Down,"point,direction,vertical,circle",🔽
Arrow Circle Down Double,"point,direction,horizontal,diagonal,circle",⏬
Arrow Circle Down Right,,🔽
Arrow Circle Down Split,"point,direction,horizontal,diagonal,circle",🔽
Arrow Circle Down Up,"point,direction,horizontal,diagonal,circle",🔽
Arrow Circle Left,"point,direction,horizontal,circle",◀️
Arrow Circle Right,"point,direction,horizontal,circle",▶️
Arrow Circle Up,"point,direction,vertical,circle",🔼
Arrow Circle Up Left,"point,direction,diagonal,circle",🔼
Arrow Circle Up Right,"point,direction,diagonal,circle",🔼
Arrow Clockwise,"arrow,point,direction,circle,refresh",🔄
Arrow Clockwise Dashes,"arrow,point,direction,circle,hint",🔄
Arrow Clockwise Dashes Settings,"arrow,point,direction,circle,hint,workflow,solutions,settings",🔄
Arrow Collapse All,"arrow,point,direction,keyboard,text",🔽
Arrow Counterclockwise,"arrow,point,direction,circle",🔁
Arrow Counterclockwise Dashes,"arrow,point,direction,circle,hint",🔁
Arrow Curve Down Left,"point,direction,up,down,horizontal",↩️
Arrow Curve Down Right,"point,direction,up,down,horizontal",↪️
Arrow Curve Up Left,"point,direction,up,down,horizontal",↖️
Arrow Down,,⬇️
Arrow Curve Up Right,"point,direction,up,down,horizontal",↗️
Arrow Down Exclamation,"priority,edit,create,letter,sort",⬇️
Arrow Down Left,,↙️
Arrow Down Right,"arrow,up,direction,point",↘️
Arrow Download,"point,direction,down,vertical",⬇️
Arrow Download Off,"point,direction,down,vertical,download,off,disabled,prohibited,permission",🚫
Arrow Eject,"point,direction,up,disconnect",⏏️
Arrow Enter,"arrow,in,out,run,start,stop",↩️
Arrow Enter Left,"arrow,point,direction,keyboard",↩️
Arrow Enter Up,"arrow,point,direction,keyboard",↰
Arrow Exit,"arrow,in,out,run,start,stop",↪️
Arrow Expand,"point,direction,fit,scale",⤢
Arrow Expand All,"arrow,point,direction,keyboard,text",⤢
Arrow Export,"arrow,point,direction,",📤
Arrow Export Up,"arrow,point,direction,",📤
Arrow Fit,"point,direction,horizontal,scale,fit",⤡
Arrow Fit In,"point,direction,horizontal,scale,fit",⤢
Arrow Flow Diagonal Up Right,"arrow,direction,diagonal",↗️
Arrow Flow Up Right,"arrow,direction",↗️
Arrow Flow Up Right Rectangle Multiple,"arrow,direction",↗️
Arrow Forward,"arrow,point,direction",➡️
Arrow Forward Down Lightning,"arrow,point,direction",➡️
Arrow Forward Down Person,"arrow,point,direction",➡️
Arrow Hook Down Left,"arrow,point,direction",↩️
Arrow Hook Down Right,"arrow,point,direction",↪️
Arrow Hook Up Left,"arrow,point,direction",↖️
Arrow Hook Up Right,"arrow,point,direction",↗️
Arrow Import,"arrow,point,direction,",📥
Arrow Join,"text,list,to do,checklist,type,information",🔗
Arrow Left,,⬅️
Arrow Maximize Vertical,"point,direction,fit,scale,vertical",⤒
Arrow Maximize,"point,direction,diagonal,fit,scale",⤢
Arrow Minimize,"point,direction,fit,scale,diagonal",⤡
Arrow Minimize Vertical,,⤓
Arrow Move,"point,direction,position",🔀
Arrow Move Inward,"point,direction,position",🔀
Arrow Next,"point,direction,position,skip,next",⏭️
Arrow Outline Down Left,"point,direction,diagonal,shape",↙️
Arrow Outline Up Right,"point,direction,diagonal,shape",↗️
Arrow Paragraph,,¶
Arrow Previous,"point,direction,position,skip,next",⏮️
Arrow Redo,"arrow,forward",↩️
Arrow Repeat 1,"control,shuffle,playback,start,begin",🔂
Arrow Repeat All,"arrow,repeat,loop",🔁
Arrow Repeat All Off,"arrow,repeat,loop",🔁
Arrow Reply,"arrow,direction,back,reply",↩️
Arrow Reply All,"arrow,direction,back,reply",↩️
Arrow Reply Down,"arrow,direction,back,reply",↩️
Arrow Reset,"arrow,direction,back,return",🔄
Arrow Right,,➡️
Arrow Rotate Clockwise,"arrow,direction,back,circle",🔄
Arrow Rotate Counterclockwise,"arrow,direction,back,circle",🔁
Arrow Shuffle,"control,shuffle,playback,start,begin",🔀
Arrow Shuffle Off,"control,shuffle,playback,start,begin",🔀
Arrow Sort,"arrow,direction",↕️
Arrow Sort Down,"arrow,direction",⬇️
Arrow Sort Down Lines,"arrow,direction,text",⬇️
Arrow Sort Up,"arrow,direction",⬆️
Arrow Sort Up Lines,"arrow,direction,text",⬆️
Arrow Split,"point,direction,horizontal,fit,scale",🔀
Arrow Sprint,"time,loop,timing,process",🏃
Arrow Square Down,"point,direction,vertical,square",⬇️
Arrow Square Up Right,"point,direction,diagonal,circle,short cut",↗️
Arrow Step Back,"arrow,direction,debugging,code,steps",⏮️
Arrow Step In,"arrow,direction,debugging,code,steps",⏩
Arrow Step In Diagonal Down Left,"arrow,direction,debugging,code,steps",↙️
Arrow Step In Left,"arrow,direction,debugging,code,steps",⬅️
Arrow Step In Right,"arrow,direction,debugging,code,steps",➡️
Arrow Step Out,"arrow,direction,debugging,code,steps",⏪
Arrow Step Over,"arrow,direction,debugging,code,steps",⏩
Arrow Swap,"arrow,direction,replacing",🔄
Arrow Sync,"arrow,direction,synchronize",🔄
Arrow Sync Checkmark,"arrow,direction,synchronize,checkmark",🔄
Arrow Sync Circle,"arrow,direction,synchronize,circle",🔄
Arrow Sync Dismiss,"arrow,direction,synchronize,dismiss",🔄
Arrow Sync Off,"arrow,direction,synchronize,slash",🔄
Arrow Trending,"arrow,direction,growth,ascending",📈
Arrow Trending Checkmark,"arrow,direction,growth,ascending,checkmark",📈
Arrow Trending Down,"arrow,direction,growth,ascending",📉
Arrow Trending Lines,"arrow,direction,growth,ascending,data",📈
Arrow Trending Settings,"arrow,direction,growth,ascending",📈
Arrow Trending Sparkle,"arrow,direction,growth,ascending,positive,AI,sparkles",✨
Arrow Trending Text,"arrow,direction,growth,ascending,note",📈
Arrow Trending Wrench,"arrow,direction,growth,ascending,tool",🔧
Arrow Turn Bidirectional Down Right,"point,direction,vertical,horizontal,corner",↘️
Arrow Turn Down Left,,↙️
Arrow Turn Down Right,"point,direction,vertical,horizontal,corner",↘️
Arrow Turn Down Up,"point,direction,vertical,horizontal,corner",↕️
Arrow Turn Left Down,"point,direction,vertical,horizontal,corner",↙️
Arrow Turn Left Right,"point,direction,vertical,horizontal,corner",↔️
Arrow Turn Left Up,"point,direction,vertical,horizontal,corner",↖️
Arrow Turn Right,"point,direction,vertical,horizontal,corner",➡️
Arrow Turn Right Down,"point,direction,vertical,horizontal,corner",↘️
Arrow Turn Right Left,"point,direction,vertical,horizontal,corner",↔️
Arrow Turn Right Up,"point,direction,vertical,horizontal,corner",↗️
Arrow Turn Up Down,"point,direction,vertical,horizontal,corner",↕️
Arrow Turn Up Left,"point,direction,vertical,horizontal,corner",↖️
Arrow Undo,"arrow,forward",↩️
Arrow Up Exclamation,"priority,edit,create,letter,sort",⬆️
Arrow Up,"arrow,up,direction,point",⬆️
Arrow Up Left,,↖️
Arrow Up Right,,↗️
Arrow Up Right Dashes,"hint,potential,point",↗️
Arrow Up Square Settings,"arrow,point,up,upload,gear,options,update",⬆️
Arrow Upload,"point,direction,up,vertical",⬆️
Arrow Wrap,"arrow,direction,left to right",🔁
Arrow Wrap Off,"arrow,direction",🔁
Arrow Wrap Up To Down,"arrow,direction,up to down,left to right",🔁
Arrows Bidirectional,"arrow,point,direction,horizontal,corner",↔️
Attach,"paperclip,file,share,send",📎
Attach Arrow Right,"paperclip,file,share,send",📎
Attach Text,"paperclip,file,share,send",📎
Auto Fit Height,"point,direction,horizontal,vertical,scale,fit",↕️
Auto Fit Width,"point,direction,horizontal,vertical,scale,fit",↔️
AutoSum,"math,formula,sigma,autosum",∑
Autocorrect,,✔️
Backpack,"school,travel,education",🎒
Backpack Add,"school,travel,add",🎒
Backspace,"keyboard,key,delete",⌫
Badge,"app,square,notification",🔖
Balloon,,🎈
Barcode Scanner,"shopping,scan,purchase",🏷️
Battery 0,"charge,power",🔋
Battery 1,"charge,power",🔋
Battery 2,"charge,power",🔋
Battery 10,"charge,power",🔋
Battery 3,"charge,power",🔋
Battery 4,"charge,power",🔋
Battery 5,"charge,power",🔋
Battery 6,"charge,power",🔋
Battery 7,"charge,power",🔋
Battery 8,"charge,power",🔋
Battery 9,"charge,power",🔋
Battery Charge,"charge,power",🔋
Battery Checkmark,"charge,power",🔋
Battery Saver,"charge,power",🔋
Battery Warning,"charge,power",⚠️
Beach,"vacation,umbrella,relax",🏖️
Beaker,"science,lab,test,experiments",⚗️
Beaker Add,"science,lab,test,experiments",⚗️
Beaker Dismiss,"science,lab,test,experiments",⚗️
Beaker Edit,"science,lab,test,experiments",⚗️
Beaker Empty,"science,lab,test,experiments",⚗️
Beaker Off,"chemical,science,slash,test",⚗️
Beaker Settings,"science,lab,test,experiments",⚗️
Bed,"sleep,relax",🛏️
Bench,"sit,bench,relax",🪑
Bezier Curve Square,"ease,square,data",🟦
Bin Full,"box,shipping,cargo",🗑️
Bin Recycle,"home,house,clean,trash,delete,recycle,eco-friendly",♻️
Bin Recycle Full,"home,house,clean,trash,delete,recycle,eco-friendly",♻️
Binder Triangle,"classwork,class,work,edu,teacher,student,math,journal,note,notepad,notebook",📒
Bluetooth,"device,connection",🔵
Bluetooth Connected,"device,connection",🔵
Bluetooth Disabled,"device,connection",🔵
Blur,"image,photo,gaussian",💧
Bluetooth Searching,"device,connection",🔵
Board,"read,calendar",📅
Board Heart,"read,calendar",📅
Board Games,"chess,cards,club",🎲
Board Split,"read,calendar",📅
Book,"Read,formulas",📖
Book Add,"read,add",📖
Book Arrow Clockwise,"read,reload",🔄
Book Coins,"Read,formulas",📖
Book Clock,"Read,formulas",📖
Book Compass,"Read,formulas",📖
Book Contacts,"Read,contacts,rolodex",📒
Book Database,"read,formulas,data catalog",📖
Book Dismiss,"book,read,details,x,close,cancel",📖
Book Exclamation Mark,"Read,formulas",📖
Book Globe,"Read,formulas",🌍
Book Information,"Read,formulas",📖
Book Letter,"Read,formulas",📖
Book Number,"Read,formulas",📖
Book Open Globe,"read,world",🌍
Book Open,"read,knowledge",📖
Book Open Microphone,"read,knowledge,record",🎤
Book Pulse,"Read,formulas",📖
Book Question Mark,"Read,formulas",❓
Book Question Mark RTL,"read,formulas",❓
Book Search,"Read,formulas",🔍
Book Star,"Read,formulas",⭐
Book Template,"read,formula,template",📖
Book Theta,"Read,formulas",📖
Book Toolbox,"read,formulas",🧰
Bookmark Add,"read,placeholder",🔖
Bookmark,"read,placeholder",🔖
Bookmark Multiple,"read,placeholder",🔖
Bookmark Search,"read,placeholder",🔖
Bookmark Off,"read,placeholder",🔖
Border All,"edit,style",⬛
Border Bottom,"edit,style",⬛
Border Bottom Double,"edit,style",⬛
Border Bottom Thick,"edit,style",⬛
Border Inside,"edit,style",⬛
Border Left,"edit,style",⬛
Border Left Right,"edit,style",⬛
Border None,"edit,style",⬜
Border Outside,"edit,style",⬛
Border Outside Thick,"edit,style",⬛
Border Right,"edit,style",⬛
Border Top,"edit,style",⬛
Border Top Bottom,"edit,style",⬛
Border Top Bottom Double,"edit,style",⬛
Border Top Bottom Thick,"edit,style",⬛
Bot,"AI,robot,automated,enhance",🤖
Bot Add,"AI,robot,automated,enhance",🤖
Bot Sparkle,"AI,robot,automated,enhance",🤖
Bow Tie,,🎀
Bowl Chopsticks,"food,noodles,soup",🍜
Bowl Salad,"diet,healthy,health,food,event",🥗
Box,"package,shipping,cargo,production",📦
Box Arrow Left,"package,shipping,cargo,production",📦
Box Arrow Up,"package,shipping,cargo,production",📦
Box Checkmark,"package,shipping,cargo,production",📦
Box Dismiss,"package,shipping,cargo,production",📦
Box Edit,"package,shipping,cargo,production",📦
Box Multiple,"package,shipping,cargo,production",📦
Box Multiple Arrow Left,"package,shipping,cargo,production",📦
Box Multiple Arrow Right,"package,shipping,cargo,production",📦
Box Multiple Checkmark,"package,shipping,cargo,production",📦
Box Multiple Search,"package,shipping,cargo,production",📦
Box Search,"package,shipping,cargo,production",📦
Box Toolbox,"package,shipping,cargo,production",🧰
Braces,"code,brackets",{}
Braces Checkmark,"xaml,binding,ok,braces,checkmark",{}
Braces Dismiss,"xaml,binding,error,braces,dismiss",{}
Braces Variable,"code,brackets",{}
Brain Circuit,"think,ai",🧠
Branch,code,🌿
Branch Compare,code,🌿
Branch Fork,code,🌿
Branch Fork Hint,code,🌿
Branch Fork Link,code,🌿
Branch Request,code,🌿
Breakout Room,"call,meeting",📞
Briefcase Medical,"organization,business,medicine,hospital",💼
Briefcase,"organization,business",💼
Briefcase Off,"organization,business,slash",💼
Briefcase Person,"organization,org,business,person,people,it,admin",💼
Briefcase Search,"organization,business,magnifying glass",💼
Brightness High,"sun,light,dark",🔆
Brightness Low,"sun,light,dark",🔅
Broad Activity Feed,"ui,content,timeline",📰
Broom,"sweep,clean,brush",🧹
Bubble Multiple,"bubble,match,game,pop,soap,float",🫧
Bug,code,🐞
Bug Arrow Counterclockwise,"code,debug,restart,arrow",🐞
Bug Prohibited,"code,block,debug,end",🐞
Building,"structure,construction,architecture,skyscraper",🏢
Building Bank,"structure,construction,architecture,columns",🏦
Building Bank Link,"structure,construction,architecture,columns",🏦
Building Bank Toolbox,"structure,construction,architecture,columns",🏦
Building Checkmark,,🏢
Building Cloud,"org,organization,settings,devices,connections,sync",🏢
Building Desktop,"structure,construction,architecture,skyscraper,data management center",🏢
Building Factory,"structure,construction,architecture,manufacturing",🏭
Building Government,"structure,construction,architecture,flag",🏛️
Building Government Search,"structure,construction,architecture,flag,ediscovery",🏛️
Building Home,"structure,construction,architecture,skyscraper",🏠
Building Lighthouse,"structure,construction,architecture,ocean,sea",🗼
Building Mosque,"structure,construction,architecture,pray,prayer",🕌
Building Multiple,"structure,construction,architecture,skyscraper",🏢
Building People,"structure,construction,architecture,skyscraper,team,meeting,location,meet up",🏢
Building Retail,"structure,construction,architecture,shop",🏬
Building Retail Money,"structure,construction,architecture,shop",🏬
Building Retail More,"datamart,",🏬
Building Retail Shield,"structure,construction,architecture,shop",🏬
Building Retail Toolbox,"structure,construction,architecture,shop",🏬
Building Skyscraper,"structure,construction,architecture,skyscraper",🏙️
Building Shop,"structure,construction,architecture,shop",🏪
Building Swap,"structure,construction,architecture,skyscraper",🏢
Building Townhouse,"house,safety,location,space,wfh,duplex,shared,apartment,townhouse",🏘️
Button,"UI,action,press,push",🔘
CD,"cd,disc,memory,compact disc,software",💿
Calculator,"math,formulas,add,subtract,multiply,divde",🧮
Calculator Multiple,"math,formulas,add,subtract,multiply,divde",🧮
Calculator Arrow Clockwise,"math,formulas,add,subtract,multiply,divde",🧮
Calendar,"time,date,planning",📅
Calendar Add,"time,date,planning",📅
Calendar 3 Day,"time,date,planning",📅
Calendar Agenda,"time,date,planning",📅
Calendar Arrow Counterclockwise,"time,date,planning,arrow counterclockwise",📅
Calendar Arrow Down,"time,date,planning",📅
Calendar Arrow Repeat All,"time,date,planning,arrow clockwise,meeting,recurring",📅
Calendar Arrow Right,"time,date,planning",📅
Calendar Assistant,"time,date,planning,ai",🤖
Calendar Cancel,"time,date,planning",❌
Calendar Chat,"time,date,planning",💬
Calendar Checkmark,"time,date,planning",✅
Calendar Clock,"time,date,planning",⏰
Calendar Data Bar,"time,date,planning,data,chart,graph",📊
Calendar Date,"time,date,planning",📅
Calendar Day,"time,date,planning",📅
Calendar Edit,"time,date,planning",✏️
Calendar Empty,"time,date,planning",📅
Calendar Error,"time,date,planning",⚠️
Calendar Eye,,👁️
Calendar Info,"time,date,planning",ℹ️
Calendar Link,"time,date,planning",🔗
Calendar Lock,"time,date,planning,lock",🔒
Calendar Mail,"time,date,planning",✉️
Calendar Mention,"time,date,planning",💬
Calendar Month,"time,date,planning,dataset",📅
Calendar Multiple,"time,date,planning",📅
Calendar Note,"time,date,planning",📝
Calendar Pattern,"time,date,planning",📅
Calendar Person,"time,date,planning",👤
Calendar Phone,"time,date,planning",📞
Calendar Play,"time,date,planning,play",▶️
Calendar Question Mark,"time,date,planning",❓
Calendar Record,"time,date,planning",⏺️
Calendar Reply,"time,date,planning",↩️
Calendar Search,"time,date,planning",🔍
Calendar Settings,"time,date,planning",⚙️
Calendar Shield,"time,date,planning,security,protection",🛡️
Calendar Sparkle,"time,date,planning",✨
Calendar Star,"time,date,planning",⭐
Calendar Sync,"time,date,planning",🔄
Calendar Template,"template,building blocks,guidance,calendar,event,date,time",📅
Calendar Today,"time,date,planning",📅
Calendar Toolbox,"time,date,planning",🧰
Calendar Video,"time,date,planning",🎥
Calendar Week Numbers,"time,date,planning",📅
Calendar Week Start,"time,date,planning",📅
Calendar Work Week,"time,date,planning",📅
Call,"handset,audio",📞
Call Add,"handset,audio",📞
Call Checkmark,"handset,audio",📞
Call Connecting,"handset,audio",📞
Call Dismiss,"handset,audio",📞
Call End,"handset,audio",📞
Call Exclamation,"handset,audio",📞
Call Forward,"handset,audio",📞
Call Inbound,"handset,audio",📞
Call Missed,"handset,audio",📞
Call Outbound,"handset,audio",📞
Call Park,"handset,audio",🅿️
Call Pause,"handset,audio",⏸️
Call Prohibited,"handset,audio",🚫
Call Transfer,"handset,audio",🔁
Call Warning,"handset,audio",⚠️
Calligraphy Pen,"edit,ink,draw",🖋️
Calligraphy Pen Checkmark,"edit,ink,draw",🖋️
Calligraphy Pen Error,"edit,ink,draw",🖋️
Calligraphy Pen Question Mark,"edit,ink,draw",🖋️
Camera,"image,photography,picture",📷
Camera Add,"image,photography,picture",📷
Camera Arrow Up,"image,photography,picture",📷
Camera Dome,,📷
Camera Edit,"image,photography,picture",📷
Camera Off,"image,photography,picture",📷
Camera Sparkles,"image,photography,picture",📷
Camera Switch,"image,photography,picture",🔄
Card UI,"modal,UI,button,text,action",💳
Card UI Portrait Flip,"card,UI,details,info,flip,rotate,front,back",🔄
Caret Down,"arrow,dropdown,direction,expand,contract",🔽
Caret Down Right,"arrow,dropdown,direction,expand,contract",🔽
Caret Left,"arrow,dropdown,direction,expand,contract",◀️
Caret Right,"arrow,dropdown,direction,expand,contract",▶️
Caret Up,"arrow,dropdown,direction,expand,contract",🔼
Cart,"shopping,purchase,collection",🛒
Cast,"connect,share",📡
Cast Multiple,"connect,share",📡
Cellular 3G,"data,connection",📶
Catch Up,"pulse,rate,monitor,document,mention,collaboration",📈
Cellular 4G,"data,connection",📶
Cellular 5G,"data,connection",📶
Cellular Data 1,"data,connection",📶
Cellular Data 2,"data,connection",📶
Cellular Data 3,"data,connection",📶
Cellular Data 4,"data,connection",📶
Cellular Data 5,"data,connection",📶
Cellular Off,"data,connection",📶
Cellular Warning,"data,connection",⚠️
Center Horizontal,"alignment,editing,design",↔️
Center Vertical,"alignment,editing,design",↕️
Certificate,"diploma,education,ribbon",🎓
Channel,"rectangle,chat,announcement",📺
Channel Add,"rectangle,chat,announcement",📺
Channel Alert,"rectangle,chat,announcement",📺
Channel Arrow Left,"rectangle,chat,announcement",📺
Channel Dismiss,"rectangle,chat,announcement",📺
Channel Share,"rectangle,chat,announcement,share",📺
Channel Subtract,"rectangle,chat,announcement",📺
Chart Multiple,"pie chart,data,bar,graph",📊
Chart Person,"data,person,presenter",📊
Chat,"discussion,message,post",💬
Chat Arrow Back,"discussion,message,post",💬
Chat Add,"discussion,message,post",💬
Chat Arrow Back Down,"discussion,message,post",💬
Chat Arrow Double Back,"discussion,message,post",💬
Chat Bubbles Question,"discussion,message,post",💬
Chat Cursor,"cursor,edit,in context,chat,discuss,Emily made these",💬
Chat Dismiss,"discussion,message,post",💬
Chat Empty,"discussion,message,post",💬
Chat Help,"discussion,message,post",💬
Chat Mail,"discussion,message,post",💬
Chat Lock,"discussion,message,post",🔒
Chat Multiple,"discussion,message,post",💬
Chat Multiple Heart,"conversation,chat,good intentions,community,positive,heart,chat",💬
Chat Off,"discussion,message,post",💬
Chat Settings,"discussion,message,post",⚙️
Chat Sparkle,"discussion,message,post,AI,sparkle",✨
Chat Video,"discussion,message,post",🎥
Chat Warning,"discussion,message,post",⚠️
Check,"book,pen,edit,money,payment",✔️
Checkbox 1,"selection,check,checkmark",☑️
Checkbox 2,"selection,check,checkmark",☑️
Checkbox Arrow Right,"selection,check,checkmark",☑️
Checkbox Checked,"selection,check,checkmark",☑️
Checkbox Checked Sync,"selection,check,checkmark",☑️
Checkbox Indeterminate,"selection,check,checkmark",☑️
Checkbox Person,"selection,check,checkmark",☑️
Checkbox Unchecked,"selection,check,checkmark",☐
Checkbox Warning,"selection,check,checkmark",⚠️
Checkmark,"approval,selected",✔️
Checkmark Circle,"approval,selected",⭕
Checkmark Circle Square,"approval,selected,multiple",⭕
Checkmark Circle Warning,"approval,selected,warning",⚠️
Checkmark Lock,"approval,selected",🔒
Checkmark Note,"approval,selected,detail,information,text",📝
Checkmark Square,"approval,selected",☑️
Checkmark Starburst,"approval,selected",✨
Checkmark Underline Circle,"approval,selected",⭕
Chess,"pawn,rook,pieces,players,board game,game,strategy",♟️
Chevron Circle Down,"arrow,dropdown,direction,expand,contract,circle",🔽
Chevron Circle Left,"arrow,dropdown,direction,expand,contract,circle",◀️
Chevron Circle Right,"arrow,dropdown,direction,expand,contract,circle",▶️
Chevron Circle Up,"arrow,dropdown,direction,expand,contract,circle",🔼
Chevron Double Down,"arrow,dropdown,direction",⏬
Chevron Double Left,"arrow,dropdown,direction",⏪
Chevron Double Right,"arrow,dropdown,direction",⏩
Chevron Double Up,"arrow,dropdown,direction",⏫
Chevron Down Up,"arrow,chevron",🔽
Chevron Down,"arrow,dropdown,direction,expand,contract",🔽
Chevron Left,"arrow,dropdown,direction,expand,contract",◀️
Chevron Right,"arrow,dropdown,direction,expand,contract",▶️
Chevron Up,"arrow,dropdown,direction,expand,contract",🔼
Circle,round,⚪
Chevron Up Down,"arrow,direction,up,down",🔼
Circle Edit,round,⚪
Circle Eraser,"clear breakpoints,circle,eraser,breakpoint,debugging,delete",⚪
Circle Half Fill,"round,edit,image,photo",⚪
Circle Highlight,"edit,image,photo,camera,slider,light,dark,levels",⚪
Circle Hint,"circle,round,shape,dash,dashes",⚪
Circle Line,round,⚪
Circle Hint Half Vertical,"circle,round,shape,dash,dashes",⚪
Circle Image,"shapes,stack,content,creation,collection,media,image,photo,picture",🖼️
Circle Multiple Subtract Checkmark,"checkmark,notify,block,dash",⚪
Circle Off,"round,slash",🚫
Circle Shadow,"edit,image,photo,camera,slider,light,dark,levels",⚪
Circle Small,round,⚪
City,"structure,construction,architecture",🏙️
Class,"bookmark,book,school",📚
Clear Formatting,"text,t,edit",🧹
Classification,"stamp,classification,sensitive",🔖
Clipboard 3 Day,"copy,memory,analog",📋
Clipboard,"copy,memory,analog",📋
Clipboard Arrow Right,"copy,memory,analog",📋
Clipboard Brush,"copy,memory,analog,style,paste",📋
Clipboard Bullet List,"copy,memory,analog",📋
Clipboard Checkmark,"copy,memory,analog",📋
Clipboard Clock,"copy,memory,analog",📋
Clipboard Code,"copy,memory,analog",📋
Clipboard Data Bar,"copy,memory,analog",📋
Clipboard Day,"copy,memory,analog",📋
Clipboard Edit,"copy,memory,analog",📋
Clipboard Error,"copy,memory,analog",📋
Clipboard Heart,"copy,memory,analog",📋
Clipboard Image,"copy,memory,analog",📋
Clipboard Letter,"copy,memory,analog,text",📋
Clipboard Link,"copy,memory,analog",📋
Clipboard Math Formula,"copy,memory,analog",📋
Clipboard Month,"copy,memory,analog",📋
Clipboard More,"copy,memory,analog",📋
Clipboard Multiple,"clipboard,task,group,multiple",📋
Clipboard Note,"copy,memory,analog",📋
Clipboard Number 123,"copy,memory,analog,number,text,type,letters",📋
Clipboard Paste,"copy,memory,analog",📋
Clipboard Pulse,"copy,memory,analog,medical,health",📋
Clipboard Search,"copy,memory,analog",📋
Clipboard Settings,"copy,memory,analog",⚙️
Clipboard Task,"copy,memory,analog",📋
Clipboard Task Add,"copy,memory,analog",📋
Clipboard Task List,"copy,memory,analog",📋
Clipboard Text,"copy,memory,analog",📋
Clipboard Text Edit,"notebook,notes,updates,copy,memory,analog",📋
Clock,"time,watch,analog",⏰
