Name,Metaphors,Emoji
Document Download,"paper,work,file,analog,download,vertical",⬇️
Document Upload,"paper,work,file,analog,upload,vertical",⬆️
Document Search,"paper,work,file,analog,horizontal,audit",🔍
Document Copy,"paper,work,file,analog,share,paste,forward,vertical",📋
Document Print,"paper,work,file,analog,horizontal,print,printer,decoration",🖨️
Mail,"envelope,email,delivery,message",✉️
Mail Add,"envelope,email,delivery,message,new,plus",✉️
Mail Send,"envelope,email,delivery,message,send",🛩️
Mail Open,"envelope,email,delivery,message,open",✉️
Mail Unread,"envelope,email,delivery,message,badge,unread,notification",✉️
Mail Read,"envelope,email,delivery,message,open,read",✉️
Mail Delete,"envelope,email,delivery,message,delete",🗑️
Mail Reply,"envelope,email,delivery,message,reply",↩️
Mail Forward,"envelope,email,delivery,message,forward",➡️
Mail Archive,"envelope,email,delivery,message,archive",📦
Mail Inbox,"envelope,email,delivery,message,inbox",📥
Mail Outbox,"envelope,email,delivery,message,outbox",📤
Mail Draft,"envelope,email,delivery,message,draft",📝
Mail Error,"envelope,email,delivery,message,alert,exclamation",⚠️
Mail Settings,"envelope,email,delivery,message,settings",⚙️
Mail Search,"envelope,email,delivery,message,search",🔍
Mail Attachment,"envelope,email,delivery,message,attachment",📎
Attachment,"paperclip,file,share,send",📎
Tag,"price,information,detail,metadata,purchase,sort",🏷️
Shopping Cart,"shopping,purchase,collection",🛒
Credit Card,"payment,transaction,purchase",💳
Money,"currency,retail,cash,purchase",💵
Wallet,"physical,analog,money,cash,purchase,balance,payment",👛
Barcode,"shopping,scan,purchase",🏷️
Gift,"present,birthday,celebration,appreciation",🎁
Download,"arrow,down,save",⬇️
Upload,"arrow,up,send",⬆️
Cloud,"storage,upload,download,save,sync",☁️
Cloud Download,"storage,upload,download,save,sync,download",⬇️
Cloud Upload,"storage,upload,download,save,sync,upload",⬆️
Cloud Sync,"storage,upload,download,save,sync",🔄
Cloud Off,"storage,upload,download,save,sync,off",🚫
Battery,"charge,power",🔋
Battery Charging,"charge,power,charging",🔋
Battery Full,"charge,power,full",🔋
Battery Low,"charge,power,low",🔋
Power,"device,electricity,analog",🔌
Logout,"door,arrow,right,logout",🚪
Login,"door,arrow,left,login",⬅️
Sign Out,"door,arrow,right,logout",🚪
Sign In,"door,arrow,left,login",⬅️
Chevron Down,"arrow,dropdown,direction,expand,contract",🔽
Chevron Up,"arrow,dropdown,direction,expand,contract",🔼
Chevron Left,"arrow,dropdown,direction,expand,contract",◀️
Chevron Right,"arrow,dropdown,direction,expand,contract",▶️
More,"overflow,menu,navigation",⋯
More Vertical,"overflow,menu,navigation",⋮
More Horizontal,"overflow,menu,navigation",⋯
Dots,"overflow,menu,navigation",⋯
Grid,"margins,collect,view",🔲
List,"text,line,view",📋
Table,"cell,row,column,information,chart",📊
Chart,"pie chart,data,bar,graph",📊
Pie Chart,"pie chart,data,bar,graph",🥧
Bar Chart,"pie chart,data,bar,graph",📊
Line Chart,"pie chart,data,bar,graph",📈
Dashboard,"dashboard,overview,summary",📊
Analytics,"data,chart,graph,analytics",📈
Download,"arrow,down,save",⬇️
Upload,"arrow,up,send",⬆️
Printer,"printer,paper,copy,fax,analog,office,ink",🖨️
Scan,"camera,aperture,image,picture,scan",🔍
Camera,"image,photography,picture",📷
Gallery,"photo,book,pictures,image",📔
Album,"photo,book,pictures,image",📔
Music,"concert,musician,art,event",🎵
Playlists,"music,collection,playlist",🎶
Bookmark,"read,placeholder",🔖
Bookmark Add,"read,placeholder,add",🔖
Bookmark Remove,"read,placeholder,remove",❌
Book,"read,formulas",📖
Library,"book,stack,knowledge,learning,information",📚
Note,"sticky note,sketch,reminder",🗒️
Notes,"sticky note,sketch,reminder",🗒️
Clipboard,"copy,memory,analog",📋
Clipboard Check,"copy,memory,analog,check",📋
Clipboard Paste,"copy,memory,analog,paste",📋
Clipboard List,"copy,memory,analog,list",📋
Task List,"checklist,checkmark,check,goals,to do",📝
Checklist,"checklist,checkmark,check,goals,to do",📝
To Do,"checklist,checkmark,check,goals,to do",📝
Chat,"discussion,message,post",💬
Message,"discussion,message,post",💬
Messages,"discussion,message,post",💬
Comment,"chat,mention,discussion",💬
Comments,"chat,mention,discussion",💬
Send,"paper plane,mail,message",🛩️
Reply,"arrow,direction,back,reply",↩️
Forward,"arrow,point,direction",➡️
Attachment,"paperclip,file,share,send",📎
Download,"arrow,down,save",⬇️
Upload,"arrow,up,send",⬆️
Calendar,"time,date,planning",📅
Event,"calendar,event,meeting",📅
Meeting,"calendar,event,meeting",📅
Call,"handset,audio",📞
Video Call,"video,meeting,selfie,camera,clip,media,front facing,effects,call,chat",🎥
Phone Call,"handset,audio",📞
Contact,"person,profile,details,organization,people card",💳
Contacts,"person,profile,details,organization,people card",💳
Profile,"person,profile,account,avatar",👤
Account,"person,profile,account,avatar",👤
Avatar,"person,profile,account,avatar",👤
Logout,"door,arrow,right,logout",🚪
Login,"door,arrow,left,login",⬅️
Settings,"gear,options,cog",⚙️
Help,"question,unknown,text,type,did you know",❓
Info,"information,details,content",ℹ️
Warning,"alert,exclamation,triangle,issue",⚠️
Error,"alert,exclamation,triangle,issue",⚠️
Success,"check,approved,done",✅
